logtaur, partially_ionized_mu, x_H, x_He_II, x_He_III
-5.0000e+00,1.2393e+00,2.5724e-04,1.1687e-13,3.9075e-54
-4.8000e+00,1.2393e+00,2.4714e-04,1.3707e-13,9.2300e-54
-4.6000e+00,1.2393e+00,2.4666e-04,1.7221e-13,2.7177e-53
-4.4000e+00,1.2393e+00,2.4978e-04,2.2038e-13,8.3910e-53
-4.2000e+00,1.2393e+00,2.5547e-04,2.8543e-13,2.6681e-52
-4.0000e+00,1.2393e+00,2.6279e-04,3.7158e-13,8.5600e-52
-3.8000e+00,1.2392e+00,2.7106e-04,4.8391e-13,2.7299e-51
-3.6000e+00,1.2392e+00,2.7915e-04,6.2518e-13,8.4220e-51
-3.4000e+00,1.2392e+00,2.8668e-04,8.0000e-13,2.5023e-50
-3.2000e+00,1.2392e+00,2.9321e-04,1.0118e-12,7.1159e-50
-3.0000e+00,1.2392e+00,2.9864e-04,1.2661e-12,1.9456e-49
-2.9000e+00,1.2392e+00,3.0079e-04,1.4091e-12,3.1590e-49
-2.8000e+00,1.2392e+00,3.0272e-04,1.5656e-12,5.0983e-49
-2.7000e+00,1.2392e+00,3.0458e-04,1.7380e-12,8.2000e-49
-2.6000e+00,1.2392e+00,3.0591e-04,1.9216e-12,1.3005e-48
-2.5000e+00,1.2392e+00,3.0719e-04,2.1237e-12,2.0591e-48
-2.4000e+00,1.2392e+00,3.0802e-04,2.3392e-12,3.2225e-48
-2.3000e+00,1.2392e+00,3.0888e-04,2.5770e-12,5.0455e-48
-2.2000e+00,1.2392e+00,3.0948e-04,2.8341e-12,7.8543e-48
-2.1000e+00,1.2392e+00,3.1021e-04,3.1203e-12,1.2276e-47
-2.0000e+00,1.2392e+00,3.1136e-04,3.4463e-12,1.9407e-47
-1.9000e+00,1.2392e+00,3.1312e-04,3.8229e-12,3.1148e-47
-1.8000e+00,1.2392e+00,3.1539e-04,4.2572e-12,5.0701e-47
-1.7000e+00,1.2392e+00,3.1893e-04,4.7858e-12,8.5353e-47
-1.6000e+00,1.2392e+00,3.2426e-04,5.4456e-12,1.4992e-46
-1.5000e+00,1.2392e+00,3.3152e-04,6.2771e-12,2.7566e-46
-1.4000e+00,1.2392e+00,3.4271e-04,7.4220e-12,5.5460e-46
-1.3000e+00,1.2391e+00,3.5494e-04,8.8054e-12,1.1279e-45
-1.2000e+00,1.2391e+00,3.7319e-04,1.0815e-11,2.5922e-45
-1.1000e+00,1.2391e+00,3.9628e-04,1.3582e-11,6.4404e-45
-1.0000e+00,1.2391e+00,4.2825e-04,1.7749e-11,1.8402e-44
-9.0000e-01,1.2390e+00,4.7306e-04,2.4389e-11,6.2758e-44
-8.0000e-01,1.2389e+00,5.2843e-04,3.4301e-11,2.3164e-43
-7.0000e-01,1.2389e+00,6.0942e-04,5.1932e-11,1.1096e-42
-6.0000e-01,1.2387e+00,7.2073e-04,8.3124e-11,6.4521e-42
-5.0000e-01,1.2386e+00,8.7620e-04,1.4147e-10,4.6477e-41
-4.0000e-01,1.2383e+00,1.1019e-03,2.5963e-10,4.3557e-40
-3.0000e-01,1.2379e+00,1.4317e-03,5.1176e-10,5.2294e-39
-2.0000e-01,1.2374e+00,1.9259e-03,1.0880e-09,8.1559e-38
-1.0000e-01,1.2365e+00,2.6725e-03,2.4690e-09,1.5887e-36
-0.0000e+00,1.2352e+00,3.8542e-03,6.0783e-09,4.0864e-35
1.0000e-01,1.2332e+00,5.6317e-03,1.5245e-08,1.1057e-33
2.0000e-01,1.2289e+00,9.4329e-03,5.1736e-08,8.5355e-32
3.0000e-01,1.2233e+00,1.4492e-02,1.4035e-07,2.8903e-30
4.0000e-01,1.2175e+00,1.9789e-02,2.8633e-07,3.5181e-29
5.0000e-01,1.2113e+00,2.5522e-02,5.0895e-07,2.6088e-28
6.0000e-01,1.2044e+00,3.1876e-02,8.3692e-07,1.4601e-27
7.0000e-01,1.1966e+00,3.9177e-02,1.3219e-06,7.0426e-27
8.0000e-01,1.1876e+00,4.7832e-02,2.0502e-06,3.1606e-26
9.0000e-01,1.1766e+00,5.8425e-02,3.1734e-06,1.3954e-25
1.0000e+00,1.1631e+00,7.1862e-02,4.9754e-06,6.3665e-25
1.2000e+00,1.1212e+00,1.1533e-01,1.3871e-05,1.9399e-23
1.4000e+00,1.0366e+00,2.1392e-01,5.4836e-05,1.7103e-21
1.6000e+00,6.9687e-01,8.5011e-01,1.0270e-02,2.3875e-14
1.8000e+00,6.5442e-01,9.6464e-01,1.4681e-01,1.6173e-10
2.0000e+00,6.3734e-01,9.8671e-01,5.4202e-01,5.0599e-08
