logtaur, partially_ionized_mu, x_H, x_He_II, x_He_III
-5.0000e+00,1.2395e+00,4.4899e-11,2.1959e-26,9.3816e-96
-4.8000e+00,1.2395e+00,5.9297e-11,4.5289e-26,1.3349e-94
-4.6000e+00,1.2395e+00,8.2287e-11,1.0147e-25,2.4533e-93
-4.4000e+00,1.2395e+00,1.1195e-10,2.1670e-25,3.7961e-92
-4.2000e+00,1.2395e+00,1.4949e-10,4.4407e-25,5.0868e-91
-4.0000e+00,1.2395e+00,1.9633e-10,8.7851e-25,6.0398e-90
-3.8000e+00,1.2395e+00,2.5424e-10,1.6882e-24,6.4978e-89
-3.6000e+00,1.2395e+00,3.2456e-10,3.1528e-24,6.3515e-88
-3.4000e+00,1.2395e+00,4.0891e-10,5.7372e-24,5.6948e-87
-3.2000e+00,1.2395e+00,5.0555e-10,1.0070e-23,4.5325e-86
-3.0000e+00,1.2395e+00,6.1106e-10,1.6926e-23,3.1288e-85
-2.9000e+00,1.2395e+00,6.7215e-10,2.1973e-23,8.2616e-85
-2.8000e+00,1.2395e+00,7.3346e-10,2.8091e-23,2.0734e-84
-2.7000e+00,1.2395e+00,7.9768e-10,3.5679e-23,5.0925e-84
-2.6000e+00,1.2395e+00,8.6348e-10,4.4930e-23,1.2167e-83
-2.5000e+00,1.2395e+00,9.3248e-10,5.6320e-23,2.8630e-83
-2.4000e+00,1.2395e+00,1.0044e-09,7.0263e-23,6.6341e-83
-2.3000e+00,1.2395e+00,1.0809e-09,8.7528e-23,1.5304e-82
-2.2000e+00,1.2395e+00,1.1644e-09,1.0926e-22,3.5539e-82
-2.1000e+00,1.2395e+00,1.2563e-09,1.3682e-22,8.3444e-82
-2.0000e+00,1.2395e+00,1.3600e-09,1.7245e-22,2.0017e-81
-1.9000e+00,1.2395e+00,1.4817e-09,2.2007e-22,5.0035e-81
-1.8000e+00,1.2395e+00,1.6257e-09,2.8469e-22,1.3081e-80
-1.7000e+00,1.2395e+00,1.8032e-09,3.7603e-22,3.6634e-80
-1.6000e+00,1.2395e+00,2.0276e-09,5.0988e-22,1.1184e-79
-1.5000e+00,1.2395e+00,2.3158e-09,7.1225e-22,3.7656e-79
-1.4000e+00,1.2395e+00,2.6934e-09,1.0299e-21,1.4202e-78
-1.3000e+00,1.2395e+00,3.2185e-09,1.5682e-21,6.3487e-78
-1.2000e+00,1.2395e+00,3.9429e-09,2.5024e-21,3.3083e-77
-1.1000e+00,1.2395e+00,4.9556e-09,4.1910e-21,2.0197e-76
-1.0000e+00,1.2395e+00,6.4937e-09,7.5933e-21,1.5949e-75
-9.0000e-01,1.2395e+00,8.7964e-09,1.4634e-20,1.5398e-74
-8.0000e-01,1.2395e+00,1.2462e-08,3.0659e-20,1.9505e-73
-7.0000e-01,1.2395e+00,1.8497e-08,6.9998e-20,3.2642e-72
-6.0000e-01,1.2395e+00,2.8893e-08,1.7544e-19,7.3815e-71
-5.0000e-01,1.2395e+00,4.7516e-08,4.8267e-19,2.2525e-69
-4.0000e-01,1.2395e+00,8.2534e-08,1.4652e-18,9.4187e-68
-3.0000e-01,1.2395e+00,1.5117e-07,4.8925e-18,5.3424e-66
-2.0000e-01,1.2395e+00,2.9197e-07,1.7985e-17,4.1285e-64
-1.0000e-01,1.2395e+00,5.9074e-07,7.2206e-17,4.2590e-62
-0.0000e+00,1.2395e+00,1.2367e-06,3.1246e-16,5.7028e-60
1.0000e-01,1.2395e+00,2.6198e-06,1.4225e-15,9.3896e-58
2.0000e-01,1.2395e+00,5.4767e-06,6.6373e-15,1.7997e-55
3.0000e-01,1.2395e+00,1.1050e-05,3.0762e-14,3.6791e-53
4.0000e-01,1.2395e+00,2.1994e-05,1.4784e-13,9.2556e-51
5.0000e-01,1.2395e+00,4.3252e-05,7.2850e-13,2.7065e-48
6.0000e-01,1.2395e+00,7.5767e-05,2.8219e-12,3.4851e-46
7.0000e-01,1.2394e+00,1.1845e-04,8.4329e-12,1.8002e-44
8.0000e-01,1.2394e+00,1.7049e-04,2.0741e-11,4.6490e-43
9.0000e-01,1.2393e+00,2.3092e-04,4.4115e-11,7.1410e-42
1.0000e+00,1.2392e+00,2.9962e-04,8.4597e-11,7.5655e-41
1.2000e+00,1.2390e+00,4.5878e-04,2.4737e-10,3.7304e-39
1.4000e+00,1.2388e+00,6.5711e-04,6.1613e-10,1.0355e-37
1.6000e+00,1.2385e+00,9.0076e-04,1.3817e-09,1.9746e-36
1.8000e+00,1.2382e+00,1.1961e-03,2.8755e-09,2.8868e-35
2.0000e+00,1.2378e+00,1.5511e-03,5.6662e-09,3.4785e-34
